kind,train_size,epsilon,best_subgroup,best_test_accuracy,d4_test_accuracy,best_minus_d4,subgroup,first_epsilon_beats_d4,max_advantage,epsilon_of_max_advantage
best_at_epsilon,30,0.0,D2_V4,0.4974747474747475,0.4848484848484848,0.012626262626262708,,,,
best_at_epsilon,30,0.1,D4,0.5227272727272727,0.5227272727272727,0.0,,,,
best_at_epsilon,30,0.2,D4,0.5303030303030303,0.5303030303030303,0.0,,,,
best_at_epsilon,120,0.0,Z2_reflection,0.5378787878787878,0.5,0.037878787878787845,,,,
best_at_epsilon,120,0.1,D4,0.5757575757575758,0.5757575757575758,0.0,,,,
best_at_epsilon,120,0.2,C4,0.5151515151515151,0.505050505050505,0.010101010101010166,,,,
crossover,30,,,,,,C4,,-0.015151515151515138,0.1
crossover,120,,,,,,C4,0.0,0.010101010101010166,0.0
crossover,30,,,,,,D2_V4,0.0,0.012626262626262708,0.0
crossover,120,,,,,,D2_V4,0.0,0.025252525252525304,0.0
crossover,30,,,,,,Z2_reflection,0.0,0.005050505050505083,0.0
crossover,120,,,,,,Z2_reflection,0.0,0.037878787878787845,0.0
crossover,30,,,,,,Z2_rot180,,-0.015151515151515194,0.0
crossover,120,,,,,,Z2_rot180,0.0,0.005050505050505083,0.0
crossover,30,,,,,,none,,-0.03282828282828282,0.0
crossover,120,,,,,,none,,-0.02020202020202011,0.2
